Triphala + Metformin ,"Activates PPAR-α/PPAR-γ and
incretin–cAMP signaling
pathways, and by supporting
pancreatic β-cell proliferation"
Triphala  + Aspirin ,Additive Pharmacodynamic effects
Triphala  + Glimipride,"Activates PPAR-α/PPAR-γ and
incretin–cAMP signaling
pathways, and by supporting
pancreatic β-cell proliferation"
Guggul + Pantoprazole,Decreased plasma concentration and reduced effect of Pantoprazole. Risk of therapeutic failure
Guggul + Ciprofloxacin,Unpredictable net CYP3A4 activity and fluctuating Ciprofloxacin levels
Guggul + Atorvastatin,Decreased plasma concentration and reduced effect of Atorvastatin. 
Guggul + Amlodipine,Decreased plasma concentration and reduced effect of Amlodipine. Risk of therapeutic failure
Guggul + Clopidogrel,Increased bleeding risk.
Guggul + Azithromycin,Decreased plasma concentration and reduced effect of Azithromycin
Guggul + Flucanozole,Unpredictable net CYP3A4 activity and fluctuating Flucanozole levels. Variable efficacy or toxicity
Guggul + Amitrytyplline,Decreased plasma concentration and reduced effect of Amitriptyline
Guggul + Atenolol,Decreased drug effectiveness
 Guggul + Norfloxacin,Unpredictable net CYP3A4 activity and fluctuating Norfloxacin levels.
Guggul + Escitalopram ,Decreased plasma concentration and reduced effect of Escitalopram.
Guggul + Propanolol,Decreased plasma concentration and reduced effect of Propanolol.
Guggul + Risperidone,Decreased plasma concentration and reduced effect of Risperidone.
 Chandraprabhavati + Diclofenac,Increased plasma concentration and increased effect of Diclofenac
Chandraprabhavati  + Clopidogrel,Decreased plasma concentration and reduced effect of Clopidogrel . Risk of therapeutic failure
Ashwagandha + Amitryptylline,Decreased plasma concentration and reduced effect of Amitriptyline
